ID,Resolution,WSI,Class,Image_path
1182,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_75.jpg
1183,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_16.jpg
1184,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_60.jpg
1185,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_29.jpg
1186,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_53.jpg
1187,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_9.jpg
1188,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_51.jpg
1189,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_70.jpg
1190,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_38.jpg
1191,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_7.jpg
1192,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_25.jpg
1193,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_23.jpg
1194,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_77.jpg
1195,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_37.jpg
1196,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_64.jpg
1197,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_22.jpg
1198,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_44.jpg
1199,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_10.jpg
1200,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_67.jpg
1201,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_5.jpg
1202,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_62.jpg
1203,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_42.jpg
1204,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_31.jpg
1205,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_49.jpg
1206,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_12.jpg
1207,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_14.jpg
1208,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_17.jpg
1209,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_69.jpg
1210,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_63.jpg
1211,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_78.jpg
1212,10x,!1_S013_1,gzfb,source_data_patch_use/gzfb/gzfb-10X/!1_S013_1/x=41588_y=53454_w=5308_h=4142/patch_59.jpg
1213,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_30.jpg
1214,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_68.jpg
1215,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_21.jpg
1216,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_45.jpg
1217,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_56.jpg
1218,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_61.jpg
1219,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_6.jpg
1220,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_35.jpg
1221,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_36.jpg
1222,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_41.jpg
1223,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_4.jpg
1224,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_43.jpg
1225,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_27.jpg
1226,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_39.jpg
1227,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_52.jpg
1228,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_3.jpg
1229,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_32.jpg
1230,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_55.jpg
1231,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_26.jpg
1232,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_47.jpg
1233,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_8.jpg
1234,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_15.jpg
1235,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_57.jpg
1236,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_58.jpg
1237,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_66.jpg
1238,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_19.jpg
1239,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_18.jpg
1240,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_0.jpg
1241,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_34.jpg
1242,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_28.jpg
1243,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_48.jpg
1244,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_40.jpg
1245,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_11.jpg
1246,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_65.jpg
1247,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_20.jpg
1248,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_13.jpg
1249,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_24.jpg
1250,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_1.jpg
1251,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_46.jpg
1252,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_2.jpg
1253,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_33.jpg
1254,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_50.jpg
1255,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_54.jpg
1256,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_16.jpg
1257,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_60.jpg
1258,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_29.jpg
1259,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_53.jpg
1260,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_9.jpg
1261,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_51.jpg
1262,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_38.jpg
1263,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_7.jpg
1264,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_25.jpg
1265,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_23.jpg
1266,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_37.jpg
1267,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_64.jpg
1268,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_22.jpg
1269,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_44.jpg
1270,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_10.jpg
1271,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_67.jpg
1272,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_5.jpg
1273,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_62.jpg
1274,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_42.jpg
1275,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_31.jpg
1276,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_49.jpg
1277,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_12.jpg
1278,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_14.jpg
1279,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_17.jpg
1280,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_69.jpg
1281,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_63.jpg
1282,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=5661_y=8835_w=5411_h=3679/patch_59.jpg
1283,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_30.jpg
1284,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_68.jpg
1285,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_21.jpg
1286,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_45.jpg
1287,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_56.jpg
1288,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_61.jpg
1289,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_6.jpg
1290,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_35.jpg
1291,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_36.jpg
1292,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_41.jpg
1293,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_4.jpg
1294,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_43.jpg
1295,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_27.jpg
1296,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_39.jpg
1297,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_52.jpg
1298,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_3.jpg
1299,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_32.jpg
1300,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_55.jpg
1301,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_26.jpg
1302,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_47.jpg
1303,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_8.jpg
1304,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_15.jpg
1305,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_57.jpg
1306,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_58.jpg
1307,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_66.jpg
1308,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_19.jpg
1309,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_18.jpg
1310,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_0.jpg
1311,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_34.jpg
1312,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_28.jpg
1313,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_48.jpg
1314,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_40.jpg
1315,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_11.jpg
1316,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_65.jpg
1317,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_20.jpg
1318,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_13.jpg
1319,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_24.jpg
1320,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_1.jpg
1321,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_46.jpg
1322,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_2.jpg
1323,4x,2-liver-N146457-6-2022-10-11_17_04_00,liver,source_data_patch_use/liver/liver-4X/2-liver-N146457-6-2022-10-11_17_04_00/x=10466_y=21699_w=5411_h=3679/patch_33.jpg
